kernel,condition,preference_position,speedup_iter1,peak_speedup_7,headroom,recovery_ratio
bitonic-sort,A,1,1.382197,1.382197,0.0,1.0
bitonic-sort,A,2,0.869994,1.40936,0.539365,1.6199651951622653
bitonic-sort,A,3,0.996941,2.365751,1.36881,2.3730100377053405
bitonic-sort,A,4,0.948264,1.000792,0.052528,1.055393856563151
bitonic-sort,A,5,0.784182,1.000481,0.216299,1.2758275502370622
bitonic-sort,B,1,1.180019,1.914576,0.734558,1.622495908964178
bitonic-sort,B,2,1.370317,1.448759,0.078442,1.0572436888690717
bitonic-sort,B,3,0.976179,1.529244,0.553065,1.5665610507908898
bitonic-sort,B,4,1.40939,1.701523,0.292134,1.2072761975038846
bitonic-sort,B,5,1.117313,1.117501,0.000188,1.000168260818589
histogram,A,1,0.96828,0.970859,0.002579,1.0026634857685794
histogram,A,2,0.998188,1.520768,0.52258,1.5235286338845988
histogram,A,3,0.610863,1.013908,0.403044,1.659796059018143
histogram,A,4,0.998872,1.051633,0.052762,1.052820581616063
histogram,A,5,0.655637,1.51937,0.863733,2.3173951439592337
histogram,B,1,1.075405,1.464347,0.388942,1.3616702544622725
histogram,B,2,0.599125,2.286202,1.687077,3.815901523054454
histogram,B,3,0.969568,1.002224,0.032656,1.0336809795702828
histogram,B,4,0.994783,1.001981,0.007198,1.0072357489020218
histogram,B,5,0.611451,1.025146,0.413695,1.676579153521705
softmax,A,1,1.360243,1.652681,0.292438,1.2149895276064644
softmax,A,2,1.515283,1.620417,0.105134,1.0693824189936798
softmax,A,3,1.654745,1.655719,0.000973,1.0005886103296884
softmax,A,4,1.533526,1.61946,0.085934,1.056036871888706
softmax,A,5,1.676265,1.677225,0.00096,1.0005727018102746
softmax,B,1,1.437018,1.438453,0.001435,1.0009985957030463
softmax,B,2,1.502728,1.511704,0.008976,1.0059731368551061
softmax,B,3,1.39558,1.481694,0.086114,1.0617048109029938
softmax,B,4,1.512905,1.513353,0.000448,1.000296119055724
softmax,B,5,1.482494,1.552905,0.070412,1.047494964566467
stencil3d,A,1,2.197595,2.197595,0.0,1.0
stencil3d,A,2,2.14431,2.203778,0.059468,1.0277329304065177
stencil3d,A,3,2.928953,2.932086,0.003133,1.0010696655084599
stencil3d,A,4,2.666829,2.751129,0.0843,1.031610575706204
stencil3d,A,5,2.281731,2.318393,0.036662,1.0160676258507246
stencil3d,B,1,2.927389,4.984545,2.057156,1.7027272426042457
stencil3d,B,2,2.271334,2.296064,0.02473,1.0108878747027077
stencil3d,B,3,2.191447,2.297988,0.106541,1.0486167358827296
stencil3d,B,4,1.463304,1.475511,0.012207,1.0083420806612982
stencil3d,B,5,2.763609,2.777609,0.014,1.0050658396321621
