kernel,condition,branch_rank,planner_rank,actual_rank_short,actual_rank_long,speedup_iter1,peak_speedup_7,peak_minus_iter1,num_successful_iterations,num_attempts_total,attempt_statuses,condition_path,log_path,response_path
bitonic-sort,A,1,1,1.0,3.0,1.382197,1.382197,0.0,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/bitonic-sort-cuda/cond_A,experiments/bitonic-sort-cuda/cond_A/workers/branch_1/LOG.md,experiments/bitonic-sort-cuda/cond_A/response.json
bitonic-sort,A,2,2,4.0,2.0,0.869994,1.40936,0.539365,7,8,correctness_fail|correct|correct|correct|correct|correct|correct|correct,experiments/bitonic-sort-cuda/cond_A,experiments/bitonic-sort-cuda/cond_A/workers/branch_2/LOG.md,experiments/bitonic-sort-cuda/cond_A/response.json
bitonic-sort,A,3,3,2.0,1.0,0.996941,2.365751,1.36881,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/bitonic-sort-cuda/cond_A,experiments/bitonic-sort-cuda/cond_A/workers/branch_3/LOG.md,experiments/bitonic-sort-cuda/cond_A/response.json
bitonic-sort,A,4,4,3.0,4.0,0.948264,1.000792,0.052528,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/bitonic-sort-cuda/cond_A,experiments/bitonic-sort-cuda/cond_A/workers/branch_4/LOG.md,experiments/bitonic-sort-cuda/cond_A/response.json
bitonic-sort,A,5,5,5.0,5.0,0.784182,1.000481,0.216299,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/bitonic-sort-cuda/cond_A,experiments/bitonic-sort-cuda/cond_A/workers/branch_5/LOG.md,experiments/bitonic-sort-cuda/cond_A/response.json
bitonic-sort,B,1,1,3.0,1.0,1.180019,1.914576,0.734558,7,10,correctness_fail|correct|correct|correct|correctness_fail|correct|correct|correct|correct|iteration_limit,experiments/bitonic-sort-cuda/cond_B,experiments/bitonic-sort-cuda/cond_B/workers/branch_1/LOG.md,experiments/bitonic-sort-cuda/cond_B/response.json
bitonic-sort,B,2,2,2.0,4.0,1.370317,1.448759,0.078442,7,8,correct|correct|correct|correct|correct|correct|correct|iteration_limit,experiments/bitonic-sort-cuda/cond_B,experiments/bitonic-sort-cuda/cond_B/workers/branch_2/LOG.md,experiments/bitonic-sort-cuda/cond_B/response.json
bitonic-sort,B,3,3,5.0,3.0,0.976179,1.529244,0.553065,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/bitonic-sort-cuda/cond_B,experiments/bitonic-sort-cuda/cond_B/workers/branch_3/LOG.md,experiments/bitonic-sort-cuda/cond_B/response.json
bitonic-sort,B,4,4,1.0,2.0,1.40939,1.701523,0.292134,7,8,correct|correct|correct|correct|correctness_fail|correct|correct|correct,experiments/bitonic-sort-cuda/cond_B,experiments/bitonic-sort-cuda/cond_B/workers/branch_4/LOG.md,experiments/bitonic-sort-cuda/cond_B/response.json
bitonic-sort,B,5,5,4.0,5.0,1.117313,1.117501,0.000188,7,8,compile_error|correct|correct|correct|correct|correct|correct|correct,experiments/bitonic-sort-cuda/cond_B,experiments/bitonic-sort-cuda/cond_B/workers/branch_5/LOG.md,experiments/bitonic-sort-cuda/cond_B/response.json
