kernel,condition,branch_rank,successful_iteration,run_path,speedup,status,timing_rel_stddev
bitonic-sort,A,1,1,experiments/bitonic-sort-cuda/cond_A/workers/branch_1/out/latest/run.json,1.381856,correct,0.0010178775882625228
bitonic-sort,A,1,2,experiments/bitonic-sort-cuda/cond_A/workers/branch_1/out/run_001/run.json,1.382197,correct,0.0005759117422921846
bitonic-sort,A,1,3,experiments/bitonic-sort-cuda/cond_A/workers/branch_1/out/run_002/run.json,1.327656,correct,0.0005504003074503301
bitonic-sort,A,1,4,experiments/bitonic-sort-cuda/cond_A/workers/branch_1/out/run_003/run.json,1.38132,correct,0.0008785247138175241
bitonic-sort,A,1,5,experiments/bitonic-sort-cuda/cond_A/workers/branch_1/out/run_004/run.json,1.325647,correct,0.0012533980681130037
bitonic-sort,A,1,6,experiments/bitonic-sort-cuda/cond_A/workers/branch_1/out/run_005/run.json,1.381843,correct,0.0006021250552890316
bitonic-sort,A,1,7,experiments/bitonic-sort-cuda/cond_A/workers/branch_1/out/run_006/run.json,1.373842,correct,0.0002703251306283673
bitonic-sort,A,2,1,experiments/bitonic-sort-cuda/cond_A/workers/branch_2/out/latest/run.json,1.40936,correct,0.0005002218563755989
bitonic-sort,A,2,2,experiments/bitonic-sort-cuda/cond_A/workers/branch_2/out/run_002/run.json,0.869994,correct,0.0005214951504802612
bitonic-sort,A,2,3,experiments/bitonic-sort-cuda/cond_A/workers/branch_2/out/run_003/run.json,0.936119,correct,0.0006468245588381368
bitonic-sort,A,2,4,experiments/bitonic-sort-cuda/cond_A/workers/branch_2/out/run_004/run.json,1.000283,correct,0.0004234873175057139
bitonic-sort,A,2,5,experiments/bitonic-sort-cuda/cond_A/workers/branch_2/out/run_005/run.json,0.932322,correct,0.0008856324032927348
bitonic-sort,A,2,6,experiments/bitonic-sort-cuda/cond_A/workers/branch_2/out/run_006/run.json,1.1636,correct,0.0006027119529886444
bitonic-sort,A,2,7,experiments/bitonic-sort-cuda/cond_A/workers/branch_2/out/run_007/run.json,1.187065,correct,0.0005990469483694459
bitonic-sort,A,3,1,experiments/bitonic-sort-cuda/cond_A/workers/branch_3/out/latest/run.json,2.358297,correct,0.0007721930106978887
bitonic-sort,A,3,2,experiments/bitonic-sort-cuda/cond_A/workers/branch_3/out/run_001/run.json,0.996941,correct,0.0003883962856125002
bitonic-sort,A,3,3,experiments/bitonic-sort-cuda/cond_A/workers/branch_3/out/run_002/run.json,1.176367,correct,0.0015144880191429158
bitonic-sort,A,3,4,experiments/bitonic-sort-cuda/cond_A/workers/branch_3/out/run_003/run.json,1.855249,correct,0.00034954009692155554
bitonic-sort,A,3,5,experiments/bitonic-sort-cuda/cond_A/workers/branch_3/out/run_004/run.json,1.829443,correct,0.0006034585789865908
bitonic-sort,A,3,6,experiments/bitonic-sort-cuda/cond_A/workers/branch_3/out/run_005/run.json,1.855636,correct,0.0008778734764518862
bitonic-sort,A,3,7,experiments/bitonic-sort-cuda/cond_A/workers/branch_3/out/run_006/run.json,2.365751,correct,0.00041988460361625635
bitonic-sort,A,4,1,experiments/bitonic-sort-cuda/cond_A/workers/branch_4/out/latest/run.json,0.957272,correct,0.0008729482227061389
bitonic-sort,A,4,2,experiments/bitonic-sort-cuda/cond_A/workers/branch_4/out/run_001/run.json,0.948264,correct,0.0002215065785279134
bitonic-sort,A,4,3,experiments/bitonic-sort-cuda/cond_A/workers/branch_4/out/run_002/run.json,0.989722,correct,0.00022268469871698015
bitonic-sort,A,4,4,experiments/bitonic-sort-cuda/cond_A/workers/branch_4/out/run_003/run.json,0.992442,correct,0.0006021144269547764
bitonic-sort,A,4,5,experiments/bitonic-sort-cuda/cond_A/workers/branch_4/out/run_004/run.json,0.68046,correct,0.00010814752343463397
bitonic-sort,A,4,6,experiments/bitonic-sort-cuda/cond_A/workers/branch_4/out/run_005/run.json,0.989915,correct,0.0005845780471606332
bitonic-sort,A,4,7,experiments/bitonic-sort-cuda/cond_A/workers/branch_4/out/run_006/run.json,1.000792,correct,0.0013364243702232385
bitonic-sort,A,5,1,experiments/bitonic-sort-cuda/cond_A/workers/branch_5/out/latest/run.json,1.000374,correct,0.0017869117207899635
bitonic-sort,A,5,2,experiments/bitonic-sort-cuda/cond_A/workers/branch_5/out/run_001/run.json,0.784182,correct,0.0015660097978841103
bitonic-sort,A,5,3,experiments/bitonic-sort-cuda/cond_A/workers/branch_5/out/run_002/run.json,1.000397,correct,8.238032562544549e-05
bitonic-sort,A,5,4,experiments/bitonic-sort-cuda/cond_A/workers/branch_5/out/run_003/run.json,1.000408,correct,0.0003762728283266383
bitonic-sort,A,5,5,experiments/bitonic-sort-cuda/cond_A/workers/branch_5/out/run_004/run.json,0.958168,correct,0.00014989600106655077
bitonic-sort,A,5,6,experiments/bitonic-sort-cuda/cond_A/workers/branch_5/out/run_005/run.json,1.000481,correct,0.0003020180873487355
bitonic-sort,A,5,7,experiments/bitonic-sort-cuda/cond_A/workers/branch_5/out/run_006/run.json,1.000366,correct,0.0017892233156633765
bitonic-sort,B,1,1,experiments/bitonic-sort-cuda/cond_B/workers/branch_1/out/run_002/run.json,1.180019,correct,0.0004027380518341733
bitonic-sort,B,1,2,experiments/bitonic-sort-cuda/cond_B/workers/branch_1/out/run_003/run.json,1.504815,correct,0.00043513346398082564
bitonic-sort,B,1,3,experiments/bitonic-sort-cuda/cond_B/workers/branch_1/out/run_004/run.json,1.481934,correct,0.0005171488041613568
bitonic-sort,B,1,4,experiments/bitonic-sort-cuda/cond_B/workers/branch_1/out/run_006/run.json,1.17879,correct,0.00024501325280194657
bitonic-sort,B,1,5,experiments/bitonic-sort-cuda/cond_B/workers/branch_1/out/run_007/run.json,1.504776,correct,0.0006337432854214518
bitonic-sort,B,1,6,experiments/bitonic-sort-cuda/cond_B/workers/branch_1/out/run_008/run.json,1.881929,correct,0.0007759951834435352
bitonic-sort,B,1,7,experiments/bitonic-sort-cuda/cond_B/workers/branch_1/out/run_009/run.json,1.914576,correct,0.0009443683611381367
